metrica,stargazer_count,fork_count,merged_pull_requests,releases_count,open_issues,closed_issues,is_fork,is_archived,idade_anos,dias_desde_ultimo_push,issues_total,closed_issues_ratio,fork_star_ratio
stargazer_count,1.000000,0.652810,0.084632,-0.022680,0.090125,0.173229,,-0.061805,0.004432,-0.084442,0.169750,0.032185,0.042797
fork_count,0.652810,1.000000,0.292105,0.010887,0.114985,0.275147,,-0.031632,0.157600,-0.035390,0.265060,0.096147,0.678429
merged_pull_requests,0.084632,0.292105,1.000000,0.333110,0.428326,0.594108,,-0.045048,0.213670,-0.151299,0.601485,0.156138,0.336672
releases_count,-0.022680,0.010887,0.333110,1.000000,0.114826,0.271836,,-0.048475,0.045261,-0.200482,0.262069,0.242269,-0.001853
open_issues,0.090125,0.114985,0.428326,0.114826,1.000000,0.591408,,-0.030441,0.062309,-0.065726,0.691645,-0.140629,0.075411
closed_issues,0.173229,0.275147,0.594108,0.271836,0.591408,1.000000,,-0.029146,0.196987,-0.122115,0.991437,0.176657,0.175211
is_fork,,,,,,,,,,,,,
is_archived,-0.061805,-0.031632,-0.045048,-0.048475,-0.030441,-0.029146,,1.000000,0.028804,0.331565,-0.031034,-0.015650,0.023845
idade_anos,0.004432,0.157600,0.213670,0.045261,0.062309,0.196987,,0.028804,1.000000,0.118473,0.186524,0.240154,0.251875
dias_desde_ultimo_push,-0.084442,-0.035390,-0.151299,-0.200482,-0.065726,-0.122115,,0.331565,0.118473,1.000000,-0.120017,-0.317599,0.063015
issues_total,0.169750,0.265060,0.601485,0.262069,0.691645,0.991437,,-0.031034,0.186524,-0.120017,1.000000,0.135451,0.169142
closed_issues_ratio,0.032185,0.096147,0.156138,0.242269,-0.140629,0.176657,,-0.015650,0.240154,-0.317599,0.135451,1.000000,0.088277
fork_star_ratio,0.042797,0.678429,0.336672,-0.001853,0.075411,0.175211,,0.023845,0.251875,0.063015,0.169142,0.088277,1.000000
