metrica,stargazer_count,fork_count,merged_pull_requests,releases_count,open_issues,closed_issues,is_fork,is_archived,idade_anos,dias_desde_ultimo_push,issues_total,closed_issues_ratio,fork_star_ratio
stargazer_count,1.000000,0.610612,0.109507,-0.016782,0.053384,0.088234,,-0.085543,-0.029031,-0.047622,0.091097,0.037938,0.121608
fork_count,0.610612,1.000000,0.100287,-0.117786,0.010538,0.100814,,-0.020400,0.177325,0.036965,0.098852,0.095707,0.820552
merged_pull_requests,0.109507,0.100287,1.000000,0.609074,0.417915,0.733032,,-0.046507,0.226017,-0.595827,0.712815,0.338333,0.064531
releases_count,-0.016782,-0.117786,0.609074,1.000000,0.416336,0.709553,,-0.055919,0.069180,-0.494120,0.696535,0.307595,-0.113824
open_issues,0.053384,0.010538,0.417915,0.416336,1.000000,0.605108,,-0.064289,0.069259,-0.270751,0.687983,-0.475212,-0.006057
closed_issues,0.088234,0.100814,0.733032,0.709553,0.605108,1.000000,,-0.048752,0.288739,-0.498293,0.988725,0.411348,0.087196
is_fork,,,,,,,,,,,,,
is_archived,-0.085543,-0.020400,-0.046507,-0.055919,-0.064289,-0.048752,,1.000000,0.025401,0.229144,-0.051242,-0.014841,0.017440
idade_anos,-0.029031,0.177325,0.226017,0.069180,0.069259,0.288739,,0.025401,1.000000,0.076449,0.272522,0.236840,0.241333
dias_desde_ultimo_push,-0.047622,0.036965,-0.595827,-0.494120,-0.270751,-0.498293,,0.229144,0.076449,1.000000,-0.482699,-0.265117,0.056568
issues_total,0.091097,0.098852,0.712815,0.696535,0.687983,0.988725,,-0.051242,0.272522,-0.482699,1.000000,0.295208,0.082664
closed_issues_ratio,0.037938,0.095707,0.338333,0.307595,-0.475212,0.411348,,-0.014841,0.236840,-0.265117,0.295208,1.000000,0.102942
fork_star_ratio,0.121608,0.820552,0.064531,-0.113824,-0.006057,0.087196,,0.017440,0.241333,0.056568,0.082664,0.102942,1.000000
