id,name,owner,stargazer_count,fork_count,created_at,pushed_at,is_fork,is_archived,primary_language,merged_pull_requests,releases_count,open_issues,closed_issues,collected_at,age_years,update_recency_years,closed_issues_ratio,fork_star_ratio
MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=,build-your-own-x,codecrafters-io,540009,50994,2018-05-09T12:03:18Z,2026-07-14T19:25:58Z,0,0,Markdown,157,0,268,677,2026-08-16 00:02:42,8.3,0.1,0.7164,0.0944
MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,awesome,sindresorhus,496142,36406,2014-07-11T13:42:37Z,2026-06-30T18:21:16Z,0,0,,700,0,16,352,2026-08-16 00:02:42,12.1,0.1,0.9565,0.0734
MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis,public-apis,460153,50852,2016-03-20T23:49:42Z,2026-08-13T21:07:34Z,0,0,Python,2127,0,13,911,2026-08-16 00:02:42,10.4,0.0,0.9859,0.1105
MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp,freeCodeCamp,454071,45980,2014-12-24T17:49:19Z,2026-08-15T13:39:32Z,0,0,TypeScript,29097,0,170,21891,2026-08-16 00:02:42,11.6,0.0,0.9923,0.1013
MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,free-programming-books,EbookFoundation,394474,66661,2013-10-11T06:50:37Z,2026-08-11T12:11:06Z,0,0,Python,7417,0,38,1254,2026-08-16 00:02:42,12.8,0.0,0.9706,0.169
R_kgDOQb6kRw,openclaw,openclaw,386403,81211,2025-11-24T10:16:47Z,2026-08-16T00:02:33Z,0,0,TypeScript,25188,234,3388,43758,2026-08-16 00:02:42,0.7,0.0,0.9281,0.2102
MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,developer-roadmap,nilbuild,364519,44789,2017-03-15T13:45:52Z,2026-08-14T17:26:59Z,0,0,TypeScript,4396,1,0,3184,2026-08-16 00:02:42,9.4,0.0,1.0,0.1229
MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,system-design-primer,donnemartin,364020,57858,2017-02-26T16:15:28Z,2026-03-20T01:52:19Z,0,0,Python,210,0,273,127,2026-08-16 00:02:42,9.5,0.4,0.3175,0.1589
MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==,coding-interview-university,jwasham,358821,84635,2016-06-06T02:34:12Z,2025-08-28T14:42:47Z,0,0,,415,0,81,455,2026-08-16 00:02:42,10.2,1.0,0.8489,0.2359
MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==,awesome-python,vinta,314155,28518,2014-06-27T21:00:06Z,2026-08-05T06:11:04Z,0,0,Python,738,0,0,0,2026-08-16 00:02:42,12.1,0.0,,0.0908
MDEwOlJlcG9zaXRvcnkzNjYzMzM3MA==,awesome-selfhosted,awesome-selfhosted,312903,14687,2015-06-01T02:33:17Z,2026-08-12T18:50:03Z,0,0,,0,1,0,0,2026-08-16 00:02:42,11.2,0.0,,0.0469
MDEwOlJlcG9zaXRvcnk4ODAxMTkwOA==,project-based-learning,practical-tutorials,279344,35881,2017-04-12T05:07:46Z,2026-08-10T07:04:22Z,0,0,Python,194,0,151,88,2026-08-16 00:02:42,9.3,0.0,0.3682,0.1284
MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=,996.ICU,996icu,276641,20754,2019-03-26T07:31:14Z,2025-08-22T06:01:29Z,0,0,,1071,0,0,0,2026-08-16 00:02:42,7.4,1.0,,0.075
R_kgDOP_gcWw,superpowers,obra,272495,24362,2025-10-09T19:45:18Z,2026-08-13T00:36:31Z,0,0,Shell,167,12,153,695,2026-08-16 00:02:42,0.8,0.0,0.8196,0.0894
MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,react,react,247264,51233,2013-05-24T16:15:54Z,2026-08-14T17:33:13Z,0,0,JavaScript,13034,132,814,13799,2026-08-16 00:02:42,13.2,0.0,0.9443,0.2072
MDEwOlJlcG9zaXRvcnkyMzI1Mjk4,linux,torvalds,242947,63932,2011-09-04T22:48:12Z,2026-08-15T16:00:10Z,0,0,C,0,0,0,0,2026-08-16 00:02:42,14.9,0.0,,0.2632
R_kgDOQ77-1A,ECC,affaan-m,240297,36463,2026-01-18T00:51:51Z,2026-08-15T20:02:53Z,0,0,JavaScript,994,15,40,667,2026-08-16 00:02:42,0.6,0.0,0.9434,0.1517
MDEwOlJlcG9zaXRvcnkxMzgzOTMxMzk=,the-book-of-secret-knowledge,trimstray,238560,14118,2018-06-23T10:43:14Z,2024-11-19T14:00:38Z,0,0,,122,0,0,0,2026-08-16 00:02:42,8.1,1.7,,0.0592
R_kgDOPRF1Gw,hermes-agent,NousResearch,231075,45889,2025-07-22T22:22:28Z,2026-08-16T00:02:43Z,0,0,Python,10813,25,10823,10981,2026-08-16 00:02:42,1.1,-0.0,0.5036,0.1986
MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==,Python,TheAlgorithms,223767,50965,2016-07-16T09:44:01Z,2026-08-03T18:44:56Z,0,0,Python,3088,0,143,1606,2026-08-16 00:02:42,10.1,0.0,0.9182,0.2278
R_kgDORHkddg,skills,mattpocock,218365,18810,2026-02-03T11:15:53Z,2026-08-15T21:24:36Z,0,0,Shell,89,7,345,303,2026-08-16 00:02:42,0.5,0.0,0.4676,0.0861
MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==,vue,vuejs,210220,33772,2013-07-29T03:24:51Z,2024-10-10T07:24:15Z,0,0,TypeScript,1136,249,365,9670,2026-08-16 00:02:42,13.0,1.8,0.9636,0.1607
MDEwOlJlcG9zaXRvcnkxOTQxNTA2NA==,computer-science,ossu,208030,25754,2014-05-04T00:18:39Z,2026-07-14T05:38:25Z,0,0,HTML,315,0,17,658,2026-08-16 00:02:42,12.3,0.1,0.9748,0.1238
R_kgDORCCMkQ,andrej-karpathy-skills,multica-ai,202766,20807,2026-01-27T03:53:13Z,2026-04-20T10:05:04Z,0,0,,12,0,0,0,2026-08-16 00:02:42,0.5,0.3,,0.1026
MDEwOlJlcG9zaXRvcnkxOTMyMTU1NTQ=,n8n,n8n-io,200781,60147,2019-06-22T09:24:21Z,2026-08-15T06:08:13Z,0,0,TypeScript,19985,762,339,9668,2026-08-16 00:02:42,7.2,0.0,0.9661,0.2996
R_kgDOOiiGLw,opencode,anomalyco,197797,25476,2025-04-30T20:08:00Z,2026-08-15T23:34:24Z,0,0,TypeScript,7219,860,3943,19818,2026-08-16 00:02:51,1.3,0.0,0.8341,0.1288
MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==,tensorflow,tensorflow,197048,76042,2015-11-07T01:19:20Z,2026-08-15T23:41:37Z,0,0,C++,48928,222,768,40917,2026-08-16 00:02:51,10.8,0.0,0.9816,0.3859
MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=,javascript-algorithms,trekhleb,196468,31040,2018-03-24T07:47:04Z,2026-07-26T02:43:08Z,0,0,JavaScript,309,0,135,238,2026-08-16 00:02:51,8.4,0.1,0.6381,0.158
R_kgDOR1kXog,claw-code,ultraworkers,195053,109112,2026-03-31T08:58:08Z,2026-08-06T11:18:35Z,0,0,Rust,141,0,16,2195,2026-08-16 00:02:51,0.4,0.0,0.9928,0.5594
R_kgDOMCtNDQ,FreeDomain,DigitalPlatDev,193337,4141,2024-05-30T13:23:00Z,2026-08-12T10:36:46Z,0,0,Markdown,0,0,0,0,2026-08-16 00:02:51,2.2,0.0,,0.0214
MDEwOlJlcG9zaXRvcnkyOTExMzc=,ohmyzsh,ohmyzsh,189215,26583,2009-08-28T18:15:37Z,2026-08-11T11:03:43Z,0,0,Shell,3650,0,152,4926,2026-08-16 00:02:51,17.0,0.0,0.9701,0.1405
MDEwOlJlcG9zaXRvcnk0MTg4MTkwMA==,vscode,microsoft,188735,41662,2015-09-03T20:23:38Z,2026-08-16T00:00:22Z,0,0,TypeScript,51978,233,17456,233404,2026-08-16 00:02:51,10.9,0.0,0.9304,0.2207
MDEwOlJlcG9zaXRvcnkyMzM0NzIxOTk=,Microsoft-Activation-Scripts,massgravel,187115,17904,2020-01-12T23:03:34Z,2026-07-04T16:54:38Z,0,0,Batchfile,7,31,6,1065,2026-08-16 00:02:51,6.6,0.1,0.9944,0.0957
R_kgDOJKSTjA,AutoGPT,Significant-Gravitas,186623,46070,2023-03-16T09:21:07Z,2026-08-15T17:35:04Z,0,0,Python,4758,117,298,3643,2026-08-16 00:02:51,3.4,0.0,0.9244,0.2469
MDEwOlJlcG9zaXRvcnkxMjEzOTU1MTA=,CS-Notes,CyC2018,185288,50787,2018-02-13T14:56:24Z,2024-08-21T09:40:10Z,0,0,,374,0,130,449,2026-08-16 00:02:51,8.5,2.0,0.7755,0.2741
MDEwOlJlcG9zaXRvcnkxMjM0NTg1NTE=,Python-100-Days,jackfrued,185208,55688,2018-03-01T16:05:52Z,2026-07-29T15:18:29Z,0,0,Jupyter Notebook,13,0,536,193,2026-08-16 00:02:51,8.5,0.0,0.2647,0.3007
